"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043153","GO:0043153","entrainment of circadian clock by photoperiod","6/312","25/25730",0.24,19.7923076923077,10.4150024803693,4.41907211718538e-07,0.00109421138016773,0.00100820715793093,"Per2/Per3/Per1/Usp2/Cry2/Bhlhe40",6
"GO:0009649","GO:0009649","entrainment of circadian clock","6/312","27/25730",0.222222222222222,18.3262108262108,9.97956546381635,7.23684775243209e-07,0.00109421138016773,0.00100820715793093,"Per2/Per3/Per1/Usp2/Cry2/Bhlhe40",6
"GO:0009648","GO:0009648","photoperiodism","6/312","29/25730",0.206896551724138,17.0623342175066,9.58850080863496,1.13786010006292e-06,0.00114696298086342,0.0010568125210058,"Per2/Per3/Per1/Usp2/Cry2/Bhlhe40",6
"GO:0032922","GO:0032922","circadian regulation of gene expression","8/312","74/25730",0.108108108108108,8.91545391545391,7.55466609539359,3.21632577326833e-06,0.00243154228459086,0.00224042482153718,"Per2/Per3/Ciart/Per1/Usp2/Nr1d1/Cry2/Bhlhe40",8
"GO:0046835","GO:0046835","carbohydrate phosphorylation","5/312","23/25730",0.217391304347826,17.9278149386845,8.99823196339507,7.14114462084232e-06,0.00431896426668543,0.0039794968023936,"Fcsk/Pfkm/Xylb/Hk2/Hkdc1",5
"GO:0042593","GO:0042593","glucose homeostasis","15/312","342/25730",0.043859649122807,3.61701529464687,5.39787883500023,2.1130545325589e-05,0.00944307407455866,0.00870085528938902,"Nr1d1/Cry2/Hnf4a/Pfkm/Pdk2/Hk2/Cacna1a/Hkdc1/Stx4a/Wfs1/Pim3/Mrgpre/Bhlha15/Pdk4/Ucp2",15
"GO:0033500","GO:0033500","carbohydrate homeostasis","15/312","343/25730",0.043731778425656,3.60647006055169,5.38408827860644,2.18589677651821e-05,0.00944307407455866,0.00870085528938902,"Nr1d1/Cry2/Hnf4a/Pfkm/Pdk2/Hk2/Cacna1a/Hkdc1/Stx4a/Wfs1/Pim3/Mrgpre/Bhlha15/Pdk4/Ucp2",15
"GO:0005996","GO:0005996","monosaccharide metabolic process","14/312","314/25730",0.0445859872611465,3.67691491099134,5.28766402769204,3.32136619102678e-05,0.0120234527464344,0.0110784180659328,"Per2/Sord/Hnf4a/Pfkm/Gpt/Slc25a10/Pdk2/Xylb/Hk2/Hkdc1/Zfp692/Acacb/Pdk4/Dgat2",14
"GO:0048511","GO:0048511","rhythmic process","15/312","358/25730",0.0418994413407821,3.45536097980232,5.1831953174901,3.57840855548642e-05,0.0120234527464344,0.0110784180659328,"Dbp/Per2/Per3/Ciart/Per1/Usp2/Tef/Nr1d1/Cry2/Hnf4a/Tyro3/Bhlhe40/Hlf/Slc6a4/U2af1l4",15
"GO:0044782","GO:0044782","cilium organization","17/312","462/25730",0.0367965367965368,3.03453490953491,4.88898565032203,5.59251497294441e-05,0.0141200925712772,0.0130102635185779,"Rpgrip1/Ift172/Cep131/Ccdc88c/Celsr2/Micall1/Trappc14/Ccdc57/Tsga10ip/Cfap44/Ccdc159/Stk36/Mks1/Tctn3/Lrrc61/Ccdc65/Dnajb13",17
"GO:0044282","GO:0044282","small molecule catabolic process","15/312","375/25730",0.04,3.29871794871795,4.96806850937108,6.05318054738972e-05,0.0141200925712772,0.0130102635185779,"Sord/Gls2/Ldhd/Pfkm/Gpt/Eci3/Xylb/Tha1/Hk2/Plin5/Haghl/Acacb/Prodh/Pipox/Pdxp",15
"GO:0019318","GO:0019318","hexose metabolic process","13/312","291/25730",0.0446735395189003,3.68413516609393,5.10174704541419,6.19928790504552e-05,0.0141200925712772,0.0130102635185779,"Per2/Sord/Hnf4a/Pfkm/Gpt/Slc25a10/Pdk2/Hk2/Hkdc1/Zfp692/Acacb/Pdk4/Dgat2",13
"GO:0006006","GO:0006006","glucose metabolic process","12/312","251/25730",0.047808764940239,3.9426907753601,5.19049003976832,6.21929806828581e-05,0.0141200925712772,0.0130102635185779,"Per2/Hnf4a/Pfkm/Gpt/Slc25a10/Pdk2/Hk2/Hkdc1/Zfp692/Acacb/Pdk4/Dgat2",12
"GO:0051646","GO:0051646","mitochondrion localization","6/312","57/25730",0.105263157894737,8.6808367071525,6.43169901450712,6.5370798941098e-05,0.0141200925712772,0.0130102635185779,"Tle6/Ubb/Myo19/Plin5/Bhlha15/Slc4a5",6
"GO:0030705","GO:0030705","cytoskeleton-dependent intracellular transport","11/312","217/25730",0.0506912442396313,4.18040293040293,5.21253891343034,7.45178140459349e-05,0.0150227913116605,0.0138420107915502,"Dync1h1/Hook2/Ift172/Kifc2/Cep131/Ccdc88c/Kif21b/Rufy4/Bicdl2/Ubb/Myo19",11
"GO:0019319","GO:0019319","hexose biosynthetic process","8/312","115/25730",0.0695652173913043,5.73690078037904,5.64045437904864,8.21999916366489e-05,0.0155357984193266,0.0143146959119875,"Per2/Sord/Hnf4a/Gpt/Slc25a10/Pdk2/Zfp692/Dgat2",8
"GO:0046364","GO:0046364","monosaccharide biosynthetic process","8/312","123/25730",0.0650406504065041,5.36376902230561,5.37468508176622,0.000131666729217809,0.0234211875973326,0.0215802992098787,"Per2/Sord/Hnf4a/Gpt/Slc25a10/Pdk2/Zfp692/Dgat2",8
"GO:0042752","GO:0042752","regulation of circadian rhythm","8/312","128/25730",0.0625,5.15424679487179,5.22009485244404,0.000173504347005914,0.0281374552874814,0.0259258716743119,"Per2/Per3/Per1/Usp2/Nr1d1/Cry2/Hnf4a/Bhlhe40",8
"GO:0010565","GO:0010565","regulation of ketone metabolic process","9/312","163/25730",0.0552147239263804,4.55344502123643,5.04221755060675,0.000176789566951768,0.0281374552874814,0.0259258716743119,"Ubr4/Clcn2/Nr1d1/Hnf4a/Pdk2/Plin5/Acacb/Pdk4/Dgat2",9
"GO:0006520","GO:0006520","amino acid metabolic process","12/312","287/25730",0.0418118466898955,3.44813722862503,4.62073019173302,0.000218582795724416,0.0305730264446915,0.0281700087019975,"Gls2/Qars1/Wars1/Hnf4a/Gpt/Lrrc47/Tha1/Nadsyn1/Prodh/Pipox/Vars1/Ucp2",12
"GO:0016054","GO:0016054","organic acid catabolic process","11/312","246/25730",0.0447154471544715,3.6875912028351,4.69261612936736,0.000224224318985226,0.0305730264446915,0.0281700087019975,"Sord/Gls2/Ldhd/Gpt/Eci3/Xylb/Tha1/Plin5/Acacb/Prodh/Pipox",11
"GO:0046395","GO:0046395","carboxylic acid catabolic process","11/312","246/25730",0.0447154471544715,3.6875912028351,4.69261612936736,0.000224224318985226,0.0305730264446915,0.0281700087019975,"Sord/Gls2/Ldhd/Gpt/Eci3/Xylb/Tha1/Plin5/Acacb/Prodh/Pipox",11
"GO:0060271","GO:0060271","cilium assembly","15/312","424/25730",0.035377358490566,2.91749818577649,4.41086941918454,0.000232532939228805,0.0305730264446915,0.0281700087019975,"Rpgrip1/Ift172/Cep131/Celsr2/Micall1/Trappc14/Ccdc57/Cfap44/Ccdc159/Stk36/Mks1/Tctn3/Lrrc61/Ccdc65/Dnajb13",15
"GO:0007623","GO:0007623","circadian rhythm","11/312","250/25730",0.044,3.62858974358974,4.62712427938907,0.000257542739213291,0.0324503851408746,0.029899808363929,"Dbp/Per2/Per3/Ciart/Per1/Usp2/Nr1d1/Cry2/Hnf4a/Bhlhe40/Slc6a4",11
"GO:0099111","GO:0099111","microtubule-based transport","11/312","252/25730",0.0436507936507936,3.59979141229141,4.59487997444957,0.000275711153365846,0.0333500211111327,0.0307287335982902,"Dync1h1/Ift172/Kifc2/Cep131/Ccdc88c/Kif21b/Rufy4/Bicdl2/Ubb/Stk36/Dnajb13",11
