"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060326","GO:0060326","cell chemotaxis","42/852","333/25730",0.126126126126126,3.80894979486529,9.5476920613719,1.16575472949281e-13,2.77754441646689e-10,2.19057022289295e-10,"S1pr1/Rarres2/Enpp2/Cxcl14/Pf4/Kdr/Pdgfd/Nbl1/Dpp4/Smoc2/Vegfc/Ccl24/Flt1/Wnt5a/Dpep1/Ccl7/Bst1/Ackr3/Ccl11/Vcam1/Tgfb2/Fgf1/Anxa1/Ccl12/Saa3/Ackr2/Clxn/Lpar1/Ccl9/Ccr1/Cx3cr1/Mdk/Cxcr4/Tmsb4x/Stap1/Ccl6/Spi1/Cxcl13/Scg2/Lox/Ptpro/Klrk1",42
"GO:0045765","GO:0045765","regulation of angiogenesis","41/852","320/25730",0.128125,3.86931484741784,9.55816187521225,1.35108676439295e-13,2.77754441646689e-10,2.19057022289295e-10,"Aqp1/Pdcd10/Dcn/Aplnr/Cd34/Synj2bp/Ets1/Cd36/Pf4/Rhob/Kdr/Fbln5/Ptgis/Cma1/Qki/Smoc2/Sema3e/Rhoj/Vegfc/Cldn5/Ccl24/Flt1/Wnt5a/Zfp354c/Cysltr1/Rgcc/Sulf1/Ccl11/Tgfb2/Fgf1/Vash1/Rtn4/Efna1/Cx3cr1/Mdk/Cxcr4/Foxc1/Ddah1/Sfrp2/Tnfrsf12a/Ramp2",41
"GO:0006935","GO:0006935","chemotaxis","51/852","479/25730",0.106471816283925,3.21539886500632,9.0574076319056,2.40087653976573e-13,2.77754441646689e-10,2.19057022289295e-10,"S1pr1/Rarres2/Enpp2/Cxcl14/Pf4/Kdr/Sema3c/Pdgfd/Nbl1/Dpp4/Smoc2/Sema3e/Vegfc/Ccl24/Flt1/Wnt5a/Dpep1/Sema3g/Cysltr1/Ccl7/Bst1/Ackr3/Ccl11/Vcam1/S100a4/Tgfb2/Fgf1/Anxa1/Ccl12/P2ry12/Saa3/Ackr2/Clxn/Lpar1/Ccl9/Ccr1/Cx3cr1/Sema3a/Mdk/Cxcr4/Tmsb4x/Stap1/Ccl6/Flrt3/Ccn1/Spi1/Cxcl13/Scg2/Lox/Ptpro/Klrk1",51
"GO:1901342","GO:1901342","regulation of vasculature development","41/852","327/25730",0.125382262996942,3.78648547759544,9.38451159675493,2.79533232741458e-13,2.77754441646689e-10,2.19057022289295e-10,"Aqp1/Pdcd10/Dcn/Aplnr/Cd34/Synj2bp/Ets1/Cd36/Pf4/Rhob/Kdr/Fbln5/Ptgis/Cma1/Qki/Smoc2/Sema3e/Rhoj/Vegfc/Cldn5/Ccl24/Flt1/Wnt5a/Zfp354c/Cysltr1/Rgcc/Sulf1/Ccl11/Tgfb2/Fgf1/Vash1/Rtn4/Efna1/Cx3cr1/Mdk/Cxcr4/Foxc1/Ddah1/Sfrp2/Tnfrsf12a/Ramp2",41
"GO:0042330","GO:0042330","taxis","51/852","481/25730",0.106029106029106,3.20202922315598,9.0218799604601,2.82213413581273e-13,2.77754441646689e-10,2.19057022289295e-10,"S1pr1/Rarres2/Enpp2/Cxcl14/Pf4/Kdr/Sema3c/Pdgfd/Nbl1/Dpp4/Smoc2/Sema3e/Vegfc/Ccl24/Flt1/Wnt5a/Dpep1/Sema3g/Cysltr1/Ccl7/Bst1/Ackr3/Ccl11/Vcam1/S100a4/Tgfb2/Fgf1/Anxa1/Ccl12/P2ry12/Saa3/Ackr2/Clxn/Lpar1/Ccl9/Ccr1/Cx3cr1/Sema3a/Mdk/Cxcr4/Tmsb4x/Stap1/Ccl6/Flrt3/Ccn1/Spi1/Cxcl13/Scg2/Lox/Ptpro/Klrk1",51
"GO:0042060","GO:0042060","wound healing","42/852","419/25730",0.100238663484487,3.02716057682611,7.74219366002864,2.1464790931593e-10,1.76047060290615e-07,1.38843305552251e-07,"Cav1/Aqp1/Pecam1/Tmx1/Pdcd10/Cd34/Wfdc1/Cd36/Pf4/Cd109/Prrg1/S100a10/Thbd/Fgl2/Kdr/Plat/Lnpk/Fundc2/Smoc2/Tlr4/Wnt5a/Tfpi/Ins1/F2r/Bnc1/Tgfb2/Fgf1/Anxa1/Pdpn/P2ry12/Anxa8/Pros1/Cldn4/Cxcr4/Fbln1/Tfpi2/Clec7a/Casp1/Adra2a/Gpx1/Tnfrsf12a/Serpine2",42
"GO:0061448","GO:0061448","connective tissue development","35/852","345/25730",0.101449275362319,3.06372048717425,7.14159731283791,5.05896178015118e-09,3.27697395712406e-06,2.58445608614347e-06,"Rflnb/Cd34/Bpnt2/Mgp/Mef2c/Pdgfd/Lnpk/Efemp1/Tlr4/Lum/Wnt5a/Serpinh1/Cytl1/Id2/Ccn2/Mustn1/Acta2/Sulf1/Ap1s2/Maf/Lipa/Col10a1/Tgfb2/Prkg2/Ogn/Mdk/Bmp2/Frzb/Sfrp2/Ccn1/Bmpr1b/Spi1/Hand2/Lox/Pth1r",35
"GO:0050900","GO:0050900","leukocyte migration","39/852","414/25730",0.0942028985507246,2.84488330951895,7.00317611458133,5.53394419297643e-09,3.27697395712406e-06,2.58445608614347e-06,"Pecam1/Cd200/Cd34/S1pr1/Rarres2/Cxcl14/Pf4/Plvap/Jam2/Pdgfd/Nbl1/Dpp4/Vegfc/Ccl24/Nkx2-3/Flt1/Wnt5a/Dpep1/Chst4/Ccl7/Bst1/Ccl11/Vcam1/Tgfb2/Il33/Anxa1/Ccl12/P2ry12/Rtn4/Ccr1/Cx3cr1/Mdk/Stap1/Spi1/Cxcl13/Scg2/Lyve1/Ptpro/Klrk1",39
"GO:0003158","GO:0003158","endothelium development","22/852","152/25730",0.144736842105263,4.37098468000988,7.71380756479437,6.51515736986462e-09,3.27697395712406e-06,2.58445608614347e-06,"Rap1a/Pecam1/Pdcd10/Rap1b/Cd34/S1pr1/Rhob/Kdr/Abcb1b/Tmem100/Gja5/Cldn5/Cysltr1/Barx1/Lipa/Fgf1/Pdpn/Sox17/Hey1/Cxcr4/Fzd2/Gpx1",22
"GO:0035456","GO:0035456","response to interferon-beta","16/852","80/25730",0.2,6.03990610328638,8.35501575604525,6.75504785401079e-09,3.27697395712406e-06,2.58445608614347e-06,"Iigp1/Ifitm2/Calm2/Ifi47/Gbp2/Ifi204/Tgtp1/Ifit1/Ifit3/Ifitm6/Gbp6/Igtp/Oas1a/Irgm2/Tgtp2/Ifitm1",16
