"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu00190","Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation","21/405","141/10650",0.148936170212766,3.91646966115051,6.93126122888345,7.52915035501909e-08,2.21357020437561e-05,1.84662319233626e-05,"68194/100041273/100042503/102631912/13063/27425/17718/17717/66142/17706/12864/17708/17992/17716/67264/67530/17711/11957/22272/68197/17719",21
"mmu05415","Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy","26/405","217/10650",0.119815668202765,3.15070831199863,6.36403736067215,1.97734051488628e-07,2.90669055688284e-05,2.42484389457108e-05,"68194/100041273/100042503/102631912/17718/17717/66142/17706/12864/17708/17992/12491/17716/70456/67264/67530/17711/11957/19046/22272/68197/17228/17719/16333/21808/26414",26
"mmu05020","Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","27/405","273/10650",0.0989010989010989,2.6007326007326,5.32709140672433,5.11130722240082e-06,0.000402356986156683,0.000335657636142166,"12389/68194/100041273/100042503/102631912/13063/17718/12390/17717/66142/17706/12864/17708/17992/22142/17716/67264/67530/17711/11957/22272/68197/19122/17719/12364/22151/26414",27
"mmu05012","Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","27/405","274/10650",0.0985401459854015,2.59124087591241,5.30544931706487,5.47424470961473e-06,0.000402356986156683,0.000335657636142166,"68194/100041273/100042503/102631912/13063/17718/17717/66142/17706/12864/17708/17992/22142/17716/67264/67530/17711/11957/22272/12314/68197/17719/22151/227059/56791/26414/75600",27
"mmu05010","Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease","33/405","389/10650",0.0848329048843188,2.23079120251357,4.91688763964185,1.28066309623462e-05,0.000753029900585959,0.00062819895036351,"68194/100041273/100042503/102631912/13063/17718/17717/66142/17706/12864/17708/17992/22142/17716/67264/67530/17711/11957/22272/12314/68197/17719/22418/56175/16333/12364/22151/68585/50490/227059/57265/26414/75600",33
"mmu04723","Organismal Systems","Nervous system","mmu04723","Retrograde endocannabinoid signaling","18/405","154/10650",0.116883116883117,3.07359307359307,5.15344833762609,2.15413476906774e-05,0.00105552603684319,0.000880549826654006,"68194/100041273/100042503/102631912/17718/17717/17992/17716/66066/67264/14707/68197/17719/14710/14706/14681/14702/26414",18
"mmu05144","Human Diseases","Infectious disease: parasitic","mmu05144","Malaria","12/405","77/10650",0.155844155844156,4.0981240981241,5.42464097478774,3.04061917157487e-05,0.00127706005206145,0.00106535979996533,"18613/12491/15129/100503605/21898/15122/101488143/22329/21808/20293/110257/27007",12
"mmu04714","Organismal Systems","Environmental adaptation","mmu04714","Thermogenesis","23/405","238/10650",0.0966386554621849,2.54123871770931,4.78098358975999,3.72066493082447e-05,0.00136734436207799,0.00114067753800276,"68194/100041273/100042503/102631912/27425/17718/17717/66142/17706/12864/17708/17992/17716/67264/67530/17711/11957/22272/68197/17719/19092/14526/75597",23
"mmu04060","Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","26/405","294/10650",0.0884353741496599,2.32552280171328,4.58237673091459,5.41094757650029e-05,0.00160172472674972,0.00133620430122694,"57266/56744/56221/16847/20306/12778/20292/16178/21808/77125/19116/20293/15979/16323/20308/12768/16324/13051/12767/12156/20305/27279/12167/245527/55985/18383",26
"mmu04061","Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","13/405","95/10650",0.136842105263158,3.59844054580897,5.05791366393262,5.87350149563059e-05,0.00160172472674972,0.00133620430122694,"57266/56744/56221/20306/12778/20292/20293/20308/12768/13051/12767/20305/55985",13
